,,,,,,,,AWS Instances,,,,,,,Google instances,,,,,,,,
,Analysis,Samples,Variants,"Rel. matrix
    in NM",Test," Parallel
instances","Instance
type",Instance,Price/h,CPU,RAM (GB),Jobs,Time,Cost,Instance,Price/h,CPU,RAM (GB),Jobs,Time,Cost,,
,,,,,,,,,,,,,,,,,,,,,,,
Approx,Sliding window,50K,,w/o,SMMAT,8,On Dm,c5.9xlarge,1.5,72,36,1,13 d,"$3,900",n1-standard-64,3.0,36,72,1,14 d,"$8,000",,* Due to diffrence in price.
Approx,Sliding window,50K,,Sparse,SMMAT,8,On Dm,c5.9xlarge,1.5,72,36,1,13 d,"$4,000",n1-standard-32,1.5,18,36,1,17 d,"$5,000",,
Approx,Sliding window,50K,,Dense,SMMAT,8,On Dm,r5.12xlarge,3.0,100,6,3,7 d,"$4,000",n1-standard-96,4.6,6,100,3,13 d,"$11,500",,* Diffrence in price coupled with diffrence in execution time. 
,,,,,,,,,,,,,,,,,,,,,,,
Approx,Sliding window,10K,,w/o,fastSKAT,8,On Dm,c5.9xlarge,1.5,5,5,7,14 h,$110,n1-standard-32,1.5,5,5,6,16 h,$200,,
Approx,Sliding window,10K,,Sparse,fastSKAT,8,On Dm,c5.9xlarge,1.5,5,5,7,14 h,$110,n1-standard-32,1.5,5,5,6,16 h,$200,,
Approx,Sliding window,10K,,Dense,fastSKAT,8,On Dm,c5.9xlarge,1.5,10,12,3,20 h,$240,n1-standard-32,1.5,12,5,2,2 d,$560,,
Approx,Sliding window,36K,,w/o,fastSKAT,8,On Dm,c5.9xlarge,1.5,36,18,2,"3 d, 12 h","$1,050",n1-standard-32,1.5,18,36,1,8 d,"$2,400",* Different number of jobs run in parallel.,
Approx,Sliding window,36K,,Sparse,fastSKAT,8,On Dm,c5.9xlarge,1.5,5,12,3,"3 d, 12 h","$1,050",n1-standard-32,1.5,12,5,2,5 d,"$1,400",* Different number of jobs run in parallel.,
Approx,Sliding window,36K,,Dense,fastSKAT,8,On Dm,r5.12xlarge,3.0,50,1,7,2 d,"$1,000",n1-standard-96,4.6,1,50,7,"2 d, 12 h","$2,100",* Diffrence in price coupled with diffrence in execution time. ,
